doi
10.1051/0004-6361/201321529
10.1086/513700
10.1086/513699
10.1086/340118
10.1086/513698
10.1023/A:1026654312961
10.1134/1.1954823
10.1103/PhysRevLett.93.152001
10.1103/PhysRevD.61.097301
10.1086/379783
10.1088/1126-6708/2005/06/073
10.1007/s100520100799
10.1086/375510
10.1016/j.physletb.2005.08.045
10.1103/RevModPhys.81.865
10.1142/S0219887807001928
10.1103/PhysRevD.72.034505
10.1103/PhysRevD.65.123001
10.1086/323608
10.1086/513697
10.1142/S021827180500513X
10.1103/PhysRevD.63.064020
10.1086/379345
10.1103/PhysRevD.70.043528
10.1086/505558
10.1016/j.nuclphysa.2005.03.041
10.1103/PhysRevLett.106.159902
10.1046/j.1365-8711.2003.06354.x
10.1103/PhysRevD.61.074019
10.1140/epja/i2003-10232-x
10.1111/j.1365-2966.2010.16647.x
10.1103/PhysRevD.77.024027
10.1046/j.1365-8711.2002.05801.x
10.1086/375508
10.1086/375507
10.1103/RevModPhys.75.345
10.1007/s00220-006-1529-4
10.1103/PhysRevD.69.046003
10.1086/498733
10.1016/j.nima.2006.05.248
10.1016/j.nuclphysb.2005.07.022
10.1088/0034-4885/70/11/R02
10.1007/s10714-006-0301-6
10.1088/1475-7516/2005/05/005
10.1142/S0217732306018469
10.1086/519294
10.1103/PhysRevLett.92.151101
10.1103/PhysRevLett.99.216802
10.1103/PhysRevD.55.3907
10.1142/S0218271807010717
10.1142/S0217751X01005705
10.1016/j.physrep.2005.12.003
10.1088/0264-9381/21/8/006
10.1007/s100529800980
10.1088/0953-8984/18/2/022
10.1086/505559
10.1016/S0550-3213(99)00589-1
10.1103/PhysRevLett.94.061801
10.1046/j.1365-8711.2003.06877.x
10.1086/505560
10.1103/PhysRevLett.100.101101
10.1103/PhysRevLett.98.231301
10.1142/S0217751X05028624
10.1103/PhysRevB.71.064420
10.1088/0034-4885/79/12/124201
10.1086/429855
10.1088/0264-9381/24/12/S04
10.1103/PhysRevLett.98.131302
10.1103/PhysRevD.77.016005
10.1140/epjc/s2006-02483-0
10.1103/PhysRevD.69.103516
10.1103/PhysRevD.65.052003
10.1051/0004-6361:20041168
10.1007/s00220-005-1528-x
10.1103/PhysRevLett.92.072302
10.1016/j.astropartphys.2004.12.006
10.1016/j.physrep.2007.10.004
10.1016/j.nuclphysa.2004.12.069
10.1088/1367-2630/8/12/322
10.1103/RevModPhys.80.395
10.1007/JHEP01(2013)114
10.1088/0264-9381/21/24/006
10.1016/j.physrep.2007.10.005
10.1103/PhysRevD.69.074502
10.1103/PhysRevD.76.074002
10.1016/j.physrep.2006.03.001
10.1007/s002880050379
10.1103/PhysRevLett.97.052301
10.1086/505557
10.1103/PhysRevD.69.013005
10.1016/j.physletb.2008.03.076
10.1103/PhysRevLett.81.1778
10.1103/PhysRevD.59.125002
10.1103/PhysRevD.75.119908
10.1016/j.nuclphysb.2006.12.018
10.1016/j.nuclphysb.2007.06.028
10.1103/PhysRevLett.98.082001
10.1016/S0370-1573(97)00009-4
10.1103/PhysRevD.65.024032
10.1103/PhysRevD.66.106006
10.1103/PhysRevD.71.034508
10.1103/PhysRevD.74.066001
10.1016/j.physrep.2005.02.005
10.1016/S0375-9474(01)01668-2
10.1086/505167
10.1086/386536
10.1016/j.nuclphysb.2005.02.002
10.1016/j.physletb.2004.05.021
10.1007/s10714-008-0616-6
10.1209/0295-5075/84/57007
10.1103/PhysRevD.67.093004
10.1103/PhysRevD.76.063507
10.1016/S0927-6505(03)00181-6
10.1088/1126-6708/2007/06/060
10.1103/RevModPhys.79.135
10.1016/S0370-1573(00)00064-8
10.1103/PhysRevD.60.104002
10.1103/PhysRevC.58.2489
